puissance_crete;surface;pente;pente_optimum;orientation;orientation_optimum;installateur;production_pvgis;lat;lon;postal_code
2176;16;20;37;10;-4;SPER;2468;45.62;4.04;42600
2990;21;30;36;10;0;KBE Solaire;3364;45.16;5.83;38410
2300;25;30;36;30;9;PIE ENERGIES;2680;45.22;5.68;38120
2150;13;40;;Sud;;SEROL Bernard;0;46.05;4.05;42153
2700;25;25;36;-10;1;A l Eau Solaire;3169;45.67;5.14;38290
2800;21;20;36;Sud;1;R. LEPARGNEUR;3269;45.64;5.00;69780
3000;25;25;35;-70;1;R.LEPARGNEUR;2944;45.42;4.32;42230
540;6;60;34;-20;-21;AUTO INSTALLATION;558;45.25;5.59;38360
1980;20;20;;Sud;;Solaris-enr;0;45.54;4.96;38780
2100;16;25;37;10;1;123 Solaire;2492;45.73;4.96;69680
2580;18;30;;65;;Solaire Energies systemes;0;45.44;5.40;38690
2800;21;15;36;-5;-16;EDEV-EnR / Photonpow;3140;45.21;5.65;38360
1240;10;25;;65;;ECO LOGIQUE;0;45.55;4.96;38780
1020;8;30;34;-20;-21;Pi energies;1131;45.25;5.59;38360
2520;16;20;35;10;-5;FL Energie;2735;45.27;4.49;42220
2640;22;30;36;Sud;-1;Moulin Jean michel;2982;46.03;4.10;42120
9600;72;20;37;Sud;-2;BS AUTOMATION;10838;45.77;4.02;42130
2550;20;25;;-90;;VSA Vent Solaire Application;0;45.76;4.92;69120
2970;24;35;37;Sud;1;SADEJA SOLAIRE;3582;45.76;5.01;69330
3120;22;30;36;-5;1;EPB Gacon Jacky;3656;45.10;5.72;38800
1400;10;25;37;90;0;ENERCOS technologies;1379;45.73;4.88;69008
1980;15;25;;40;;Pi energies;0;45.26;5.86;38190
2800;21;20;37;35;0;Solaris-enr;3131;45.80;4.71;69890
1260;10;30;;Sud;;Energies Economies Solutions;0;45.18;5.70;38000
58190;435;20;37;-40;-1;Photowatt;64388;45.61;4.70;69440
2430;19;25;37;-25;0;VSA vent solaire app;2804;45.66;4.77;69390
2975;23;25;38;-40;-16;ENERCOS technologies;3265;45.29;5.89;38920
2520;19;30;37;-30;-1;Odislor Energy;2792;46.03;4.07;42300
3060;0;30;;Sud;;Enersun;0;45.77;4.87;69100
30000;243;20;36;-15;-1;EPB Gacon Jacky;34096;45.31;5.25;38870
