IRIS;REVDISMED;MEN_TOT_2019;MEN_1PERS_2019;FAM_TOT_2019;FAM_2ENF_2019;FAM_3ENF_2019;FAM_4ENFPLUS_2019;PART_FAM_2ENF_2019;ACCESS;logaccessstand;trv50stand;distancestand;CAH_4;immo_2017;immo_2018;immo_2019;immo_2020;immo_2021;immo_nb_annees;immo_moy;immo_ECTYPE;immo_ECTYPE/MOY;immo_qualite
010050000;24050;727,1268238;181,7817059;520,7800224;112,9994388;34,39113356;4,91301908;21,67832168;235;-1,251383249;1,441653563;0,961653082;1;2936;2087;2613;3159;3832;5;2925,4;647,5170268;0,221343073;oui
010210000;24810;550,9480299;141,2731509;409,5147634;96,34022419;35,17688284;9,879200941;25,67164317;526;-0,948443767;1,611819898;0,818230502;1;2367;2589;2228;2685;2863;5;2546,4;252,4000792;0,099120358;oui
010270000;24250;711,4036787;137,1583117;584,7382519;154,428233;51,70652173;10,38143315;29,99268854;3036;-0,289338607;-0,05581018;0,557639231;2;2501;2322;2661;3152;3304;5;2788;422,6127069;0,15158275;oui
010300000;22990;365;120;240;65;15;5;23,61111111;966;-0,71989468;0,658888424;0,966252636;2;2539;2071;2221;3018;2138;5;2397,4;390,556398;0,162908316;oui
010320000;21980;1224,445029;262,119431;957,280404;211,5776289;95,69233191;45,31691996;28,9147883;775;-0,802725152;0,04628962;0,890898729;2;3172;2304;2672;2773;2870;5;2758,2;315,3081033;0,114316621;oui
010430000;28010;1910;475;1445;375;95;25;25,78125;5618;-0,057942445;0,250489222;0,01167418;2;3216;2953;3135;3522;3694;5;3304;299,6372807;0,09068925;oui
010450000;26530;105,9303338;20,27607329;85,65426052;35,20262687;0;4,99909686;37,951097;37;-1,946460192;0,080322887;0,873634703;1;2465;2383;1984;2465;2365;5;2332,4;200,1069714;0,085794448;oui
010470000;25410;447,0921986;88,48699764;358,6052009;83,82978723;27,94326241;4,657210402;26,04166667;826;-0,778762777;0,522755357;1,45593765;2;1928;3224;2572;2520;3209;5;2690,6;542,6746723;0,201692809;oui
010490000;25350;1254,999219;285,4508027;959,705285;216,5488848;93,50974572;19,68626226;26,48221344;3113;-0,279921598;-0,225976515;0,211079953;2;3337;2738;2617;2957;3704;5;3070,6;447,6173589;0,14577521;oui
010520000;26780;135,1313301;25,0927148;110,0386153;14,96822302;9,969141222;0;18,45416916;1700;-0,507378824;0,182422688;1,291308786;2;2277;2065;1341;2194;2750;5;2125,4;509,1034276;0,239532995;oui
010540000;26360;560,8010596;104,7302247;450,7019441;123,7916938;20,51645927;5,102611653;26,89991202;58;-1,777444123;0,148389421;0,951208851;1;3202;2221;2188;2665;2981;5;2651,4;450,5455582;0,169927419;oui
010620000;27790;357,7218448;66,3133333;296,3145045;89,77462341;14,83318113;0;28,84715226;253;-1,223633836;0,114356154;0,701174676;1;2471;2195;2655;2653;2873;5;2569,4;253,1537082;0,098526391;oui
010740000;22050;1084,098208;361,0486908;711,8036628;158,9636782;61,87725058;25,31721909;22,94427067;540;-0,93856734;1,169387428;1,785166304;1;4305;2028;2142;2371;2587;5;2686,6;929,9308039;0,34613668;nope
010750000;23890;547,0712373;118,2856729;428,7855644;108,4285335;29,57141823;9,857139411;27,02702703;465;-0,994789487;1,611819898;1,23720517;1;2113;3158;2125;2423;3069;5;2577,6;505,702284;0,196191141;oui
010850000;24350;148,8409854;19,98786761;123,776975;31,42966841;5,321277498;5,405592036;29,32325955;27;-2,064926904;0,829054759;1,738792349;1;1596;2442;2245;2064;2476;5;2164,6;358,403125;0,16557476;oui
010880000;27040;365,2296419;74,15663204;291,0730098;68,46740822;14,20958453;4,478980865;23,86333518;167;-1,37981765;0,012256353;1,359347426;1;2439;2482;2605;2952;3165;5;2728,6;316,3499644;0,115938564;oui
